Station;SurveyID;KPPID;SurveyName;SurveyName1;Latitude;Longitude;Trail;HabitatID;Habitat;BiomeID;Biome;Elevation;DisturbanceIndex;LivestockIndex;MSAVI2;Nights;NightsPool;SmallPreyIndex;PreyIndex
49;1;ssu052;Koup;KoupSouth;-33.07805;21.36419;off-trail;3;riverine;1;NamaKaroo;628;0;3.51;0.186;57;9;0;96
50;1;ssu053;Koup;KoupSouth;-33.07793;21.38578;trail;1;plain;1;NamaKaroo;584;7.01754386;298.25;0.18;57;9;2.42;105.4
51;1;ssu054;Koup;KoupSouth;-33.00538;21.51381;off-trail;1;plain;1;NamaKaroo;548;0;0;0.1816;54;9;24.2;45.2
52;1;ssu055;Koup;KoupSouth;-33.07787;21.42855;trail;1;plain;1;NamaKaroo;560;0;42.11;0.2025;57;9;0;0
53;1;ssu056;Koup;KoupSouth;-33.07778;21.45;off-trail;1;plain;1;NamaKaroo;548;0;1.72;0.1878;58;9;0;33.9
54;1;ssu057;Koup;KoupSouth;-33.0777;21.47142;off-trail;1;plain;1;NamaKaroo;527;0;0;0.1765;58;9;0;0
55;1;ssu058;Koup;KoupSouth;-33.0776;21.49297;trail;1;plain;1;NamaKaroo;517;0;0;0.1815;61;10;0;22.6
58;1;ssu065;Koup;KoupSouth;-33.06002;21.38567;off-trail;1;plain;1;NamaKaroo;648;0;31.03;0.1748;58;9;0;82.8
59;1;ssu066;Koup;KoupSouth;-33.05989;21.40706;off-trail;1;plain;1;NamaKaroo;640;93.10344828;6.9;0.1782;58;9;0;0
60;1;ssu067;Koup;KoupSouth;-33.05975;21.42861;off-trail;2;mountain;1;NamaKaroo;651;36.20689655;8.62;0.1841;58;9;0;56.5
61;1;ssu068;Koup;KoupSouth;-33.05961;21.44995;off-trail;2;mountain;1;NamaKaroo;620;0;75.81;0.1811;62;10;2.42;0
62;1;ssu069;Koup;KoupSouth;-33.05964;21.47164;off-trail;3;riverine;1;NamaKaroo;550;0;37.1;0.1703;62;10;9.68;474.3
63;1;ssu071;Koup;KoupSouth;-33.05934;21.51394;off-trail;1;plain;1;NamaKaroo;519;0;16.13;0.175;62;10;12.1;11.3
64;1;ssu072;Koup;KoupSouth;-33.05936;21.53572;off-trail;1;plain;1;NamaKaroo;479;0;31.75;0.171;63;10;9.68;33.9
65;1;ssu078;Koup;KoupSouth;-33.04129;21.38535;off-trail;1;plain;1;NamaKaroo;632;48.27586207;0;0.1781;58;9;21.78;171.3
66;1;ssu079;Koup;KoupSouth;-33.04178;21.40697;off-trail;1;plain;1;NamaKaroo;612;10.34482759;0;0.1719;58;9;4.84;32
67;1;ssu080;Koup;KoupSouth;-33.04193;21.42866;off-trail;1;plain;1;NamaKaroo;592;65.51724138;0;0.171;58;9;0;11.3
68;1;ssu081;Koup;KoupSouth;-33.04168;21.44999;off-trail;2;mountain;1;NamaKaroo;609;38.70967742;0;0.1931;62;10;0;0
69;1;ssu082;Koup;KoupSouth;-33.04165;21.47127;trail;2;mountain;1;NamaKaroo;583;50;0;0.163;62;10;24.2;0
70;1;ssu083;Koup;KoupSouth;-33.04155;21.49273;off-trail;1;plain;1;NamaKaroo;538;0;0;0.1795;62;10;9.68;43.3
71;1;ssu084;Koup;KoupSouth;-33.04145;21.51396;off-trail;1;plain;1;NamaKaroo;488;6.451612903;0;0.1741;62;10;4.84;22.6
72;1;ssu085;Koup;KoupSouth;-33.05952;21.4927;off-trail;1;plain;1;NamaKaroo;540;0;14.52;0.162;62;10;2.42;33.9
73;1;ssu086;Koup;KoupSouth;-33.07735;21.55714;off-trail;3;riverine;1;NamaKaroo;477;6.557377049;0;0.1728;61;10;0;0
74;1;ssu087;Koup;KoupSouth;-33.07724;21.57855;off-trail;1;plain;1;NamaKaroo;468;44.64285714;0;0.1936;56;9;29.04;11.3
75;1;ssu095;Koup;KoupSouth;-33.02315;21.38507;off-trail;3;riverine;1;NamaKaroo;679;0;3.45;0.1856;58;9;7.26;75.3
76;1;ssu096;Koup;KoupSouth;-33.02381;21.40689;off-trail;2;mountain;1;NamaKaroo;673;0;51.72;0.1865;58;9;4.84;0
77;1;ssu097;Koup;KoupSouth;-33.02377;21.42826;off-trail;1;plain;1;NamaKaroo;587;1.724137931;1032.76;0.1926;58;9;0;20.7
78;1;ssu098;Koup;KoupSouth;-33.02382;21.44975;off-trail;1;plain;1;NamaKaroo;553;0;46.55;0.1826;58;9;9.68;128
79;1;ssu099;Koup;KoupSouth;-33.0236;21.47118;off-trail;1;plain;1;NamaKaroo;517;0;9.68;0.1843;62;10;9.68;222.2
80;1;ssu100;Koup;KoupSouth;-33.0236;21.49221;off-trail;3;riverine;1;NamaKaroo;488;9.677419355;22.58;0.1889;62;10;31.46;641.7
